# Daily post topic queue. One topic per line.
# The daily generator pops the first non-comment, non-empty line.
# When queue is empty, workflow alerts via failure.
#
# Format: [category]|[topic title in Korean]|[source hint or empty]
# Categories: immigration, tax, health, education, retirement, community, real-estate

immigration|H-1B 추첨제 폐지 → 연봉순 선발 변경 — 한국 유학생·자영업자 비상|USCIS / Atlanta JoongAng
community|입양 한인 애덤 크랩서 패소 — 19,000 한인 입양아 무국적 문제|NBC News / Korea Herald
real-estate|LA 한인타운 신축 허가 작년의 9배 — 렌트 곧 떨어진다|K News LA
tax|쿠팡 파트너스 미국 사는 한인 — 한국 부동산 매각 후 송금 가이드|국세청 / IRS
health|한국말 우울증을 진단할 의사가 없다 — 한인 노인 30% 우울|PMC MASK 연구
community|시카고 한인 우버 기사 38세 가장, 매복 총격에 숨지다|JoongAng Ilbo
education|FAFSA 한국어 가이드 2026 — 한인 학부모를 위한 단계별 신청|Federal Student Aid
retirement|65세에 한국으로 돌아갈까? F-5-13 비자 실제 계산표|MrVisa Korea
community|H마트 100호점 돌파 — 18개 주 점령한 한인 자존심|Hankyung / JoongAng
tax|2026 401k 한도 $24,500 인상 — 50세 이상 catch-up $8,000 활용법|IRS
immigration|영주권자 ICE 단속 — 시민권자도 표적, 시카고·미네소타 충격|Korea Herald / Knewsla
health|디지털 헬스 한국어 — Telehealth 한인 환자를 위한 의사 찾기|HealthCare.gov
education|어퍼머티브 액션 폐지 2년, 한인 학부모만 손해 본 통계|NBC News
retirement|한미은행 1분기 순익 +6.2% — 한인 모기지 갈아탈 최적기?|Herald K
community|매기 강 감독 다음 작품 — KPop Demon Hunters 후속 발표|Hollywood Reporter
immigration|입국 심사 강화 — 한국 여행 후 재입국 시 주의사항 2026|CBP
tax|FBAR 신고 마감 4월 15일 — 한국 계좌 5만달러 이상 자동 보고 의무|IRS / FinCEN
real-estate|뉴저지 팰리세이드 파크 한인 부동산 트렌드 2026|Local NJ data
health|한국 부모님 미국 의료보험 — Visitors Insurance 비교|IMG / Atlas
community|한인 사회 분열 — LA vs NY 두 코리아타운의 50년 변천사|Wikipedia / 회고록
